trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",30,0,-23.841779718053164,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",35,0,-64.69077586341139,"{0: 30, 1: 1, 2: 2, 3: 0, 4: 2}",0
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",25,0,-28.464822894738322,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",20,10,19.94374761231734,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",25,0,-2.0017348447903895,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",25,8,-23.700923221861444,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",20,0,-20.068888792517445,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",30,17,-29.97017037219159,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,11,16.845474537763955,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",30,16,-11.725361970478783,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",20,14,10.493835571603814,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",25,8,-45.37023786240252,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",25,2,-30.47996217062126,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",20,2,7.374767451073651,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,0,-53.478459937361606,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
109,False,"{'a': 0.01, 'e': 0.33621649370673334}",25,3,16.726154420228447,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",20,0,-26.818432802407326,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
111,False,"{'a': 0.01, 'e': 0.32955896107518906}",25,11,-39.53641800371867,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.01, 'e': 0.32627979462303947}",30,0,-79.28811891049124,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
113,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,2,-22.518376376041356,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.31981902181630384}",20,8,-39.83272091174822,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.31663676937905316}",25,12,-16.142860812567232,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3134861808826053}",20,15,3.27419647118201,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.31036694126548503}",30,16,5.031755462476297,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.30727873860113125}",20,7,10.426279307258316,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3042212640667041}",20,3,-16.95039670887531,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.30119421191220214}",20,4,-65.63292463711004,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.2981972794298874}",25,16,-49.17687726816364,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.2952301669240142}",20,0,-3.4252124339765033,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.2922925776808594}",20,0,-5.975811075762595,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.2893842179390506}",20,8,8.978487526703091,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.2865047968601901}",30,16,-8.136590789612091,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2836540264997704}",25,3,19.513848969492603,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2808316217783798}",25,7,23.13231295599105,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.27803730045319414}",20,0,-81.3463069674248,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
129,False,"{'a': 0.01, 'e': 0.27527078308975234}",30,0,-14.16126751024798,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
130,False,"{'a': 0.01, 'e': 0.2725317930340126}",25,0,-25.12535085358755,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
131,False,"{'a': 0.01, 'e': 0.2698200563846868}",25,12,-17.436685285623014,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.26713530196585034}",30,8,-18.40852005946748,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.01, 'e': 0.26447726129982396}",20,1,-11.104569125780651,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.261845668580326}",25,9,-14.300563483963318,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.2592402606458915}",30,18,-2.8410552886941707,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2566607769535559}",20,0,-6.756292193510264,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.01, 'e': 0.25410695955280027}",20,10,-48.78088156285075,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
138,False,"{'a': 0.01, 'e': 0.25157855305975646}",20,13,-2.229154934775324,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.24907530463166816}",20,0,24.951842407664337,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
